Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,base-chair-redirect (product.metafields.custom.base_chair_redirect),custom-chair-product (product.metafields.custom.custom_chair_product),Custom-Product-field (product.metafields.custom.custom_product_field),ddd (product.metafields.custom.ddd),Delivery Time (product.metafields.custom.delivery_time),Delivered Date (product.metafields.custom.launchtip_delivered_date),Delivery Timer Text Base Timer (product.metafields.custom.launchtip_delivery_timer),Estimated Arrival Date (product.metafields.custom.launchtip_estimate_arrival_date),Order Dispatch Date (product.metafields.custom.launchtip_order_dispatch_date),Order Place Date (product.metafields.custom.launchtip_order_place_date),new_yerba_dinks_fields (product.metafields.custom.new_yerba_dinks_fields),tom (product.metafields.custom.tom),toom (product.metafields.custom.toom),Top-Desk-Bulk (product.metafields.custom.top_desk_bulk),yerba-energy-drinks (product.metafields.custom.yerba_energy_drinks),EasyReviews: Rating (product.metafields.easyreview.rating),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Backrest type (product.metafields.shopify.backrest-type),Band color (product.metafields.shopify.band-color),Bat material (product.metafields.shopify.bat-material),Case color (product.metafields.shopify.case-color),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Seat structure (product.metafields.shopify.seat-structure),Seat type (product.metafields.shopify.seat-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
top,,,,,,,,,XL,,,green,,,,,,0.0,shopify,deny,manual,300.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
top,,,,,,,,,XXL,,,Red,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
top,,,,,,,,,XXL,,,Black,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
top,,,,,,,,,XXL,,,green,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,
pop-1,pop,"",bahadur-startbit,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
pop,pop,"",bahadur-startbit,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
short-tom,short tom,"",bahadur-startbit,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
gfh-t,gfh t,"",bahadur-startbit,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
dsewfcfvcfdgbvfdgvb-fg,dsewfcfvcfdgbvfdgvb fg,"",bahadur-startbit,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
bundlesuite-byob-bundle,Custom Bundle,"",bahadur-startbit,Uncategorized,bundle,bundle-product,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,2927.00,3193.09,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Bundle_and_Save_240x240_a395d6b8-84fc-4422-936a-ca6543cfea0f.avif?v=1758198571,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
bubdle-products,bubdle products,,bahadur-startbit,Uncategorized,"","drinks, sell",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,1500.00,3000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-02_ab5c0d92-71f3-4ae3-bc3e-f47c7648538b.webp?v=1758192917,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,archived
bubdle-products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Organic-Sugar-Free-Ready-To-Drink-Energy-Brew-Raspberry-Yuzu_2a459c24-409a-4afe-a369-2f258cfc3b58.webp?v=1758192917,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xx,xx,"",bahadur-startbit,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,500.00,,true,true,,,,,"",,,,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
lemon-original,Lemon Original,"",bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks","",drinks,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3550.22,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-05.webp?v=1757657198,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-ncyumoc4,,,,yerba-drinks-qt8vjltx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.00,true,,,active
peach-passion,Peach Passion,"",bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks","",drinks,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3550.22,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-04.webp?v=1757657146,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-xzwl01md,,,,yerba-drinks-mftfyufw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
mango-key-lime,Mango Lime,"",bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks","",drinks,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3550.22,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-03.webp?v=1757657091,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-xtf43sjo,,,,yerba-drinks-nw8cufbv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
raspberry-yuzu-1,Raspberry Yuzu,"",bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks","",drinks,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-02_ab5c0d92-71f3-4ae3-bc3e-f47c7648538b.webp?v=1758192917,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-6n7x7pzg,,,,yerba-drinks-h1uaxx57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
mint-limeade,Mint Limeade,"",bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks","",drinks,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-01.webp?v=1757656708,1,"",false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-bqyy4e4p,,,,yerba-drinks-hmxvsoq9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
adidas-classic-backpack-legend-ink-multicolour,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,"The adidas BP Classic Cap features a pre-curved brim to keep your face shaded, while a hook-and-loop adjustable closure provides a comfortable fit. With a 3-Stripes design and reflective accents. The perfect piece to top off any outfit.",ADIDAS,Uncategorized,ACCESSORIES,"adidas, backpack, clothes, egnition-sample-data",true,Size,OS,,Color,blue,,,,,"AD-04
-OS-blue",0.0,shopify,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_30_image1.jpg?v=1756098751,1,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
adidas-classic-backpack-legend-ink-multicolour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_30_image2.jpg?v=1756098751,2,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack-legend-ink-multicolour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_30_image3.jpg?v=1756098751,3,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack,ADIDAS | CLASSIC BACKPACK,"This women's backpack has a glam look, thanks to a faux-leather build with an allover fur print. The front zip pocket keeps small things within reach, while an interior divider reins in potential chaos.",ADIDAS,Uncategorized,ACCESSORIES,"adidas, backpack, clothes, egnition-sample-data",true,Size,OS,,Color,black,,,,,AD-03-OS-black,0.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_29_image1.jpg?v=1756098747,1,ADIDAS | CLASSIC BACKPACK,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
adidas-classic-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_29_image2.jpg?v=1756098747,2,ADIDAS | CLASSIC BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_29_image3.jpg?v=1756098747,3,ADIDAS | CLASSIC BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap,NIKE | SWOOSH PRO FLAT PEAK CAP,The Nike Swoosh Pro Flat Snapback features an embroidered logo for style and wool construction with an adjustable closure for a comfortable fit.,NIKE,Uncategorized,ACCESSORIES,"cap, clothes, egnition-sample-data, nike",true,Size,OS,,Color,white,,,,,NK-03-OS-white,0.0,shopify,deny,manual,30.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image1.jpg?v=1756098743,1,NIKE | SWOOSH PRO FLAT PEAK CAP,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image2.jpg?v=1756098743,2,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image3.jpg?v=1756098743,3,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image4.jpg?v=1756098745,4,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Flexfit Mini Ottoman Cap,FLEX FIT,Uncategorized,ACCESSORIES,"clothes, egnition-sample-data, flex-fit, men",true,Size,s,,Color,black,,,,,FF-01-s-black,0.0,shopify,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_27_image1.jpg?v=1756098738,1,FLEX FIT | MINI OTTOMAN BLACK,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
flex-fit-mini-ottoman-black,,,,,,,,,m,,,black,,,,,FF-01-m-black,0.0,shopify,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_27_image2.jpg?v=1756098738,2,FLEX FIT | MINI OTTOMAN BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
flex-fit-mini-ottoman-black,,,,,,,,,l,,,black,,,,,FF-01-l-black,0.0,shopify,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_27_image3.jpg?v=1756098738,3,FLEX FIT | MINI OTTOMAN BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
flex-fit-mini-ottoman-black,,,,,,,,,xl,,,black,,,,,FF-01-xl-black,0.0,shopify,deny,manual,29.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_27_image4.jpg?v=1756098738,4,FLEX FIT | MINI OTTOMAN BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
herschel-iona,HERSCHEL | IONA,"Featuring a cinch closure concealed by a slender top flap, the Iona backpack unites everyday practicality with clean design.",HERSCHEL,Uncategorized,ACCESSORIES,"backpack, clothes, egnition-sample-data, herschel",true,Size,OS,,Color,black,,,,,H-01-OS-black,0.0,shopify,deny,manual,119.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_26_image1.jpg?v=1756098734,1,HERSCHEL | IONA,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
herschel-iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_26_image2.jpg?v=1756098734,2,HERSCHEL | IONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herschel-iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_26_image3.jpg?v=1756098735,3,HERSCHEL | IONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herschel-iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_26_image4.jpg?v=1756098734,4,HERSCHEL | IONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,The classic super no show socks are for all your low top shoes like Classic Slip-Ons. These socks are designed to stay hidden under your shoes for an athletic look with either jeans or shorts. Thin walled breathable cotton/nylon blend.,VANS,Uncategorized,ACCESSORIES,"clothes, egnition-sample-data, unisex, vans",true,Size,9.5-13,,Color,white,,,,,VN-10-9.5-13-white,0.0,shopify,deny,manual,19.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_25_image1.jpg?v=1756098731,1,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_25_image2.jpg?v=1756098731,2,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,"The Stan Smith owned the tennis court in the '70s. Today it runs the streets with the same clean, classic style. These kids' shoes preserve the iconic look of the original, made in leather with punched 3-Stripes, heel and tongue logos and lightweight step-in cushioning.",ADIDAS,Uncategorized,SHOES,"adidas, clothes, egnition-sample-data, kid",true,Size,1,,Color,white,,,,,AD-02-1-white,0.0,shopify,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_24_image1.jpg?v=1756098727,1,ADIDAS | KID'S STAN SMITH,false,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
adidas-kids-stan-smith,,,,,,,,,2,,,white,,,,,AD-02-2-white,0.0,shopify,deny,manual,90.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_24_image2.jpg?v=1756098727,2,ADIDAS | KID'S STAN SMITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
adidas-kids-stan-smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_24_image3.jpg?v=1756098727,3,ADIDAS | KID'S STAN SMITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_24_image4.jpg?v=1756098727,4,ADIDAS | KID'S STAN SMITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
