Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,base-chair-redirect (product.metafields.custom.base_chair_redirect),custom-chair-product (product.metafields.custom.custom_chair_product),Custom-Product-field (product.metafields.custom.custom_product_field),ddd (product.metafields.custom.ddd),Delivery Time (product.metafields.custom.delivery_time),Delivered Date (product.metafields.custom.launchtip_delivered_date),Delivery Timer Text Base Timer (product.metafields.custom.launchtip_delivery_timer),Estimated Arrival Date (product.metafields.custom.launchtip_estimate_arrival_date),Order Dispatch Date (product.metafields.custom.launchtip_order_dispatch_date),Order Place Date (product.metafields.custom.launchtip_order_place_date),new_yerba_dinks_fields (product.metafields.custom.new_yerba_dinks_fields),tom (product.metafields.custom.tom),toom (product.metafields.custom.toom),Top-Desk-Bulk (product.metafields.custom.top_desk_bulk),yerba-energy-drinks (product.metafields.custom.yerba_energy_drinks),EasyReviews: Rating (product.metafields.easyreview.rating),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Backrest type (product.metafields.shopify.backrest-type),Band color (product.metafields.shopify.band-color),Bat material (product.metafields.shopify.bat-material),Case color (product.metafields.shopify.case-color),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Seat structure (product.metafields.shopify.seat-structure),Seat type (product.metafields.shopify.seat-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location,My Custom Location,Snow City Warehouse
top,,,,,,,,,XL,,,Black,,,,,,0.0,shopify,deny,manual,300.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,nike-toddler-roshe-one,NIKE | TODDLER ROSHE ONE,Size,4,Color,black,,,NK-02-4-black,,,20,not stocked,not stocked
top,,,,,,,,,XL,,,green,,,,,,0.0,shopify,deny,manual,300.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,nike-toddler-roshe-one,NIKE | TODDLER ROSHE ONE,Size,7,Color,black,,,NK-02-7-black,,,20,not stocked,not stocked
top,,,,,,,,,XXL,,,Red,,,,,,0.0,shopify,deny,manual,10.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,Size,1,Color,white,,,AD-02-1-white,,,30,not stocked,not stocked
top,,,,,,,,,XXL,,,Black,,,,,,0.0,shopify,deny,manual,10.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,Size,2,Color,white,,,AD-02-2-white,,,30,not stocked,not stocked
top,,,,,,,,,XXL,,,green,,,,,,0.0,shopify,deny,manual,10.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,Size,9.5-13,Color,white,,,VN-10-9.5-13-white,,,21,not stocked,not stocked
pop-1,pop,,bahadur-startbit,Uncategorized,,,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,True,,,active,herschel-iona,HERSCHEL | IONA,Size,OS,Color,black,,,H-01-OS-black,,,20,not stocked,not stocked
pop,pop,,bahadur-startbit,Uncategorized,,,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,True,,,active,flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,s,Color,black,,,FF-01-s-black,,,5,not stocked,not stocked
short-tom,short tom,,bahadur-startbit,Uncategorized,,,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,True,,,active,flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,m,Color,black,,,FF-01-m-black,,,5,not stocked,not stocked
gfh-t,gfh t,,bahadur-startbit,Uncategorized,,,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,True,,,active,flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,l,Color,black,,,FF-01-l-black,,,5,not stocked,not stocked
dsewfcfvcfdgbvfdgvb-fg,dsewfcfvcfdgbvfdgvb fg,,bahadur-startbit,Uncategorized,,,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,0.0,,True,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,True,,,active,flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,xl,Color,black,,,FF-01-xl-black,,,5,not stocked,not stocked
bundlesuite-byob-bundle,Custom Bundle,,bahadur-startbit,Uncategorized,bundle,bundle-product,True,Title,Default Title,,,,,,,,,0.0,,deny,manual,2927.0,3193.09,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Bundle_and_Save_240x240_a395d6b8-84fc-4422-936a-ca6543cfea0f.avif?v=1758198571,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,nike-swoosh-pro-flat-peak-cap,NIKE | SWOOSH PRO FLAT PEAK CAP,Size,OS,Color,white,,,NK-03-OS-white,,,40,not stocked,not stocked
bubdle-products,bubdle products,,bahadur-startbit,Uncategorized,,"drinks, sell",False,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,1500.0,3000.0,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-02_ab5c0d92-71f3-4ae3-bc3e-f47c7648538b.webp?v=1758192917,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,archived,adidas-classic-backpack,ADIDAS | CLASSIC BACKPACK,Size,OS,Color,black,,,AD-03-OS-black,,,30,not stocked,not stocked
bubdle-products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Organic-Sugar-Free-Ready-To-Drink-Energy-Brew-Raspberry-Yuzu_2a459c24-409a-4afe-a369-2f258cfc3b58.webp?v=1758192917,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adidas-classic-backpack-legend-ink-multicolour,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,Size,OS,Color,blue,,,"AD-04
-OS-blue",,,30,not stocked,not stocked
xx,xx,,bahadur-startbit,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,,,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,500.0,,True,True,,,,,,,,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,mint-limeade,Mint Limeade,Title,Default Title,,,,,,,,5000,0,not stocked
lemon-original,Lemon Original,,bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks",,drinks,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3550.22,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-05.webp?v=1757657198,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-ncyumoc4,,,,yerba-drinks-qt8vjltx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,0.0,True,,,active,raspberry-yuzu-1,Raspberry Yuzu,Title,Default Title,,,,,,,,5000,0,not stocked
peach-passion,Peach Passion,,bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks",,drinks,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3550.22,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-04.webp?v=1757657146,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-xzwl01md,,,,yerba-drinks-mftfyufw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,mango-key-lime,Mango Lime,Title,Default Title,,,,,,,,5000,0,not stocked
mango-key-lime,Mango Lime,,bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks",,drinks,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3550.22,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-03.webp?v=1757657091,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-xtf43sjo,,,,yerba-drinks-nw8cufbv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,peach-passion,Peach Passion,Title,Default Title,,,,,,,,5000,0,not stocked
raspberry-yuzu-1,Raspberry Yuzu,,bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks",,drinks,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3200.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-02_ab5c0d92-71f3-4ae3-bc3e-f47c7648538b.webp?v=1758192917,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-6n7x7pzg,,,,yerba-drinks-h1uaxx57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,lemon-original,Lemon Original,Title,Default Title,,,,,,,,5000,0,not stocked
mint-limeade,Mint Limeade,,bahadur-startbit,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Energy Drinks",,drinks,True,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,3200.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/Mateina-Yerba-Mate-Sugar-Free-Ready-To-Drink-Cans-BG-01.webp?v=1757656708,1.0,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,new-yerba-drinks-bqyy4e4p,,,,yerba-drinks-hmxvsoq9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,xx,xx,Title,Default Title,,,,,,,,0,0,not stocked
adidas-classic-backpack-legend-ink-multicolour,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,"The adidas BP Classic Cap features a pre-curved brim to keep your face shaded, while a hook-and-loop adjustable closure provides a comfortable fit. With a 3-Stripes design and reflective accents. The perfect piece to top off any outfit.",ADIDAS,Uncategorized,ACCESSORIES,"adidas, backpack, clothes, egnition-sample-data",True,Size,OS,,Color,blue,,,,,"AD-04
-OS-blue",0.0,shopify,deny,manual,50.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_30_image1.jpg?v=1756098751,1.0,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,bubdle-products,bubdle products,Title,Default Title,,,,,,,,0,not stocked,not stocked
adidas-classic-backpack-legend-ink-multicolour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_30_image2.jpg?v=1756098751,2.0,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsewfcfvcfdgbvfdgvb-fg,dsewfcfvcfdgbvfdgvb fg,Title,Default Title,,,,,,,,0,0,not stocked
adidas-classic-backpack-legend-ink-multicolour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_30_image3.jpg?v=1756098751,3.0,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gfh-t,gfh t,Title,Default Title,,,,,,,,0,0,not stocked
adidas-classic-backpack,ADIDAS | CLASSIC BACKPACK,"This women's backpack has a glam look, thanks to a faux-leather build with an allover fur print. The front zip pocket keeps small things within reach, while an interior divider reins in potential chaos.",ADIDAS,Uncategorized,ACCESSORIES,"adidas, backpack, clothes, egnition-sample-data",True,Size,OS,,Color,black,,,,,AD-03-OS-black,0.0,shopify,deny,manual,70.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_29_image1.jpg?v=1756098747,1.0,ADIDAS | CLASSIC BACKPACK,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,short-tom,short tom,Title,Default Title,,,,,,,,0,0,not stocked
adidas-classic-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_29_image2.jpg?v=1756098747,2.0,ADIDAS | CLASSIC BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop,pop,Title,Default Title,,,,,,,,0,0,not stocked
adidas-classic-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_29_image3.jpg?v=1756098747,3.0,ADIDAS | CLASSIC BACKPACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop-1,pop,Title,Default Title,,,,,,,,0,0,not stocked
nike-swoosh-pro-flat-peak-cap,NIKE | SWOOSH PRO FLAT PEAK CAP,The Nike Swoosh Pro Flat Snapback features an embroidered logo for style and wool construction with an adjustable closure for a comfortable fit.,NIKE,Uncategorized,ACCESSORIES,"cap, clothes, egnition-sample-data, nike",True,Size,OS,,Color,white,,,,,NK-03-OS-white,0.0,shopify,deny,manual,30.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image1.jpg?v=1756098743,1.0,NIKE | SWOOSH PRO FLAT PEAK CAP,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,top,top,Size,L,Color,Red,,,,,,0,0,not stocked
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image2.jpg?v=1756098743,2.0,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top,top,Size,L,Color,Black,,,,,,0,0,not stocked
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image3.jpg?v=1756098743,3.0,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top,top,Size,L,Color,green,,,,,,0,0,not stocked
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_28_image4.jpg?v=1756098745,4.0,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top,top,Size,M,Color,Red,,,,,,0,0,not stocked
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Flexfit Mini Ottoman Cap,FLEX FIT,Uncategorized,ACCESSORIES,"clothes, egnition-sample-data, flex-fit, men",True,Size,s,,Color,black,,,,,FF-01-s-black,0.0,shopify,deny,manual,29.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_27_image1.jpg?v=1756098738,1.0,FLEX FIT | MINI OTTOMAN BLACK,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,top,top,Size,M,Color,Black,,,,,,0,0,not stocked
flex-fit-mini-ottoman-black,,,,,,,,,m,,,black,,,,,FF-01-m-black,0.0,shopify,deny,manual,29.99,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0707/7753/6680/files/product_27_image2.jpg?v=1756098738,2.0,FLEX FIT | MINI OTTOMAN BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,top,top,Size,M,Color,green,,,,,,0,0,not stocked
